cluster,n_poi,W_c,W_c_mean,centroid_x,centroid_y,W_c_share_pct
0,416,1210982.0253089687,2911.01448391579,721405.840324205,5543783.421728035,36.47
1,118,185136.68434749596,1568.9549520974233,715200.1057815382,5557770.645127744,5.58
2,417,458307.84078080166,1099.0595702177498,723939.6661889001,5562412.805904317,13.8
3,220,184420.32847307608,838.274220332164,727893.5414775371,5549225.998748452,5.55
4,86,102645.22156331681,1193.5490879455442,712009.6796524515,5552212.139692378,3.09
5,111,134120.55386101257,1208.2932780271403,723148.8537587841,5551543.770967051,4.04
6,213,143421.78519072727,673.3417145104567,705229.6002971552,5553261.119152268,4.32
7,371,301057.5766227325,811.4759477701684,715306.8511209574,5546304.098678219,9.07
8,169,124436.67668212726,736.3116963439483,709714.0355401906,5543404.411388826,3.75
9,129,132425.94433175246,1026.557707998081,721216.840200082,5556461.014998042,3.99
10,169,85546.69507256868,506.193461967862,710028.5805343739,5559274.057713843,2.58
11,145,112129.98467873684,773.3102391637024,729852.8043706329,5553692.758316183,3.38
12,109,145586.34161226277,1335.6545102042455,719690.3551765291,5565185.3192844335,4.38
